tconst,originalTitle,titleType,startYear,genres,runtimeMinutes,akas_title,region,averageRating,numVotes,overview,poster_path,production_countries
tt0246866,De l'origine du XXIe siècle,short,2000,"['Documentary', 'Short', 'War']",13,De l'origine du XXIe siècle,FR,7.1,597,"Commissioned by the heads of the 2000 Cannes Film Festival to make an opening-night short commemorating cinema as it enters its second full century, Godard instead offers up a 17-minute barrage of re-edited footage of wars and Nazi atrocities, interspersed with clips of Maurice Chevalier in ""Gigi"" and Godard's own ""À bout de souffle.""",/xvFiuDfq2ab1oiK8lv7Rx2qDH1p.jpg,['FR']
tt2689992,Avant que de tout perdre,short,2013,"['Drama', 'Family', 'Short']",29,Avant que de tout perdre,FR,7.7,897,"Julien is 10 years old. He pretends to go to school but then hides out under a bridge, his backpack filled with clothes. A few kilometers away, 15-year-old Joséphine does the same and waits for the bus.",/b4g6tTko8kzq2AXOAhd8CnXoA4h.jpg,['FR']
tt3889320,BoOzy' OS et la Gemme de Cristal,short,2013,"['Adventure', 'Animation', 'Comedy']",5,La Gemme de Cristal,FR,7.3,1669,"Coming from outer space, an intergalactic cow invites BoOzy’ OS to join the biggest animation film festival of the universe. BoOzy’ imagines himself winning the competition and decides to seek the famous ""Cristal"" of Annecy, with the help of OSmic the Hedgeh' OS and other cool dudes. But the dark paunchy Mari' OS is determined to recover the loot before him.",/h9oWPpw2Gz4tole7UZkmDymFmJu.jpg,['FR']
tt3689498,Feast,short,2014,"['Animation', 'Comedy', 'Drama']",6,Le Festin,FR,8.2,24375,"This Oscar-winning animated short film tells the story of one man's love life as seen through the eyes of his best friend and dog, Winston, and revealed bite by bite through the meals they share.",/6hAgSxgd2YIK5pYhwowtnlGpwbe.jpg,['US']
tt6277156,Short: The Uncut Story of Mewtwo's Origin,short,1999,"['Animation', 'Drama', 'Fantasy']",10,Pokémon: L'histoire sur l'origine de Mewtwo,FR,7.6,516,"The devious leader of Team Rocket Organization, Giovanni, has a fervent ambition to take control of the Pokémon world through both financial and military means. To achieve his military needs, he covets a Pokémon stronger and more adept than any other, a veritable living war weapon, so he enlists a scientist named Doctor Fuji to create this being from the DNA of the ancestor of all Pokémon and most powerful of Pokémon, Mew, which Fuji had found on a previous jungle expedition. Fuji accepts, for he is heavily into the prospect of cloning to create and restore life itself, because of his love for his deceased daughter, Amber.",/13ojzcdgxnTeAtHlbXk09zALcbY.jpg,['JP']
tt1687263,Rättskiparen,short,2010,"['Documentary', 'Drama', 'News']",29,L'Arbitre,FR,8.0,1677,"Swedish soccer referee Martin Hansson had a successful journey towards his big dream in life, the 2010 FIFA World Cup in South Africa. Then one dark night in Paris on November 18th, 2009, all hell broke loose.",/cNcliSVTT5WqgeTKzEKk1J0lG8X.jpg,['SE']
tt23628262,The Elephant Whisperers,short,2022,"['Documentary', 'Short']",41,Ceux qui murmuraient à l'oreille de l'éléphanteau,FR,7.5,10199,"The Elephant Whisperers follows an indigenous couple as they fall in love with Raghu, an orphaned elephant given into their care, and tirelessly work to ensure his recovery & survival. The film highlights the beauty of the wild spaces in South India and the people and animals who share this space.",/rRn0Uj2WXal7FkWWyKK0bleQlOy.jpg,['IN']
tt22763378,The Red Suitcase,short,2022,"['Drama', 'Short']",18,La valise rouge,FR,7.4,1430,"A veiled 16 year old Iranian teenager is terrified to take her red suitcase from the carosel at the Luxembourg Airport, and go through the exit doors. Her fear grows with every second in the face of what awaits her beyond the gate.",/erJFQ6iVz73HoDG99GcwNNQN5up.jpg,['LU']
tt14062858,Us Again,short,2021,"['Animation', 'Drama', 'Family']",7,"Nous, toujours",FR,7.8,7514,"In a vibrant city pulsating with rhythm and movement, an elderly man and his young-at-heart wife rekindle their youthful passion for life and each other on one magical night.",/zKnenwvQB6xA4mxc8zxL2S8qVbR.jpg,['US']
tt8995696,Rooting for Roona,short,2020,"['Documentary', 'Drama', 'Short']",40,Tous avec Roona,FR,7.0,536,"In rural India, a child with hydrocephalus gets a chance at life-changing surgery after her photos go viral. This documentary charts her journey.",/gx6DUx7EugLPM3NuY8PSJMuHR7J.jpg,['IN']
tt8551848,Nefta Football Club,short,2018,"['Comedy', 'Drama', 'Short']",17,Nefta Football Club,FR,7.2,2062,"In the south of Tunisia, two football fan brothers bump into a donkey lost in the middle of the desert on the border of Algeria. Strangely, the animal wears headphones over its ears.",/wRa0zStfGUA345pdz4h2E3OxNzP.jpg,"['DZ', ' TN', ' FR']"
tt7829544,Angela's Christmas,short,2017,"['Adventure', 'Animation', 'Family']",30,Le Noël d'Angela,FR,7.0,3716,A trip to church with her family on Christmas Eve gives young Angela an extraordinary idea. A heartwarming tale based on a story by Frank McCourt.,/htzoW7Cu7Hqd0xofflI7bCKRh2C.jpg,"['IE', ' CA']"
tt8952294,Auntie Edna,short,2018,"['Action', 'Adventure', 'Animation']",5,Tata Edna,FR,7.1,4339,"Taking place during the events of Incredibles 2, Edna Mode babysits Jack-Jack.",/cmvGFfq6J63YXvOUGqY5wrZ4b3m.jpg,['US']
tt6939026,Period. End of Sentence.,short,2018,"['Documentary', 'Short']",26,Les règles de notre liberté,FR,7.4,6672,"In an effort to improve feminine hygiene, a machine that creates low-cost biodegradable sanitary pads is installed in a rural village in Northern India. Using the machine, a group of local women is employed to produce and sell pads, offering them newfound independence and helping to destigmatize menstruation for all.",/pKYHYlujtTDS0kZM80MUX7l3T58.jpg,['US']
tt8089288,Susotázs,short,2018,"['Comedy', 'Drama', 'Romance']",17,Chuchotage,FR,7.3,1240,"During a professional conference in Prague, two interpreters in the Hungarian booth hilariously vie for the attention of one listener.",/yGXVc4iofw61zQwtCq5Hc55giq6.jpg,['HU']
tt8075496,Bao,short,2018,"['Animation', 'Drama', 'Family']",8,Bao,FR,7.5,34088,"An aging Chinese mom suffering from empty nest syndrome gets another chance at motherhood when one of her dumplings springs to life as a lively, giggly dumpling boy.",/tKz7XRXvdy1i7pW4eotaWZSrAx2.jpg,"['CA', ' US']"
tt4571288,Mindenki,short,2016,"['Drama', 'Music', 'Short']",25,La chorale,FR,8.0,5985,"Quiet 10-year-old Zsofi has just changed schools. Feeling out of place at first, she is quickly admitted to the school’s famous choir and befriends her popular classmate Liza. Soon, they have to stand up united against their choir master, who isn’t quite the friendly and inspirational teacher they first thought she was.",/vNZsygCJam5U3P34tXMmuOVZO9n.jpg,['HU']
tt6073176,The White Helmets,short,2016,"['Documentary', 'Short', 'War']",41,Les Casques blancs,FR,7.5,8298,"As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble.",/w5wJW2MrmhoZYSrCzaB8WxkYDEC.jpg,"['SY', ' GB']"
tt0179167,Emilie Muller,short,1994,"['Comedy', 'Short']",20,Emilie Muller,FR,8.4,904,"Emilie Muller, a petite young woman, goes to her first audition, where the casting director asks her to talk about what is inside her handbag.",/xVkvMpAHvvQTq57hZZaTPkINEDx.jpg,['FR']
tt5807512,Inner Workings,short,2016,"['Adventure', 'Animation', 'Comedy']",6,"Raison, déraison",FR,7.7,5546,"This is the story of the internal struggle between a man's Brain—a pragmatic protector who calculates his every move, and his Heart—a free-spirited adventurer who wants to let loose.",/vUZqG2SvTkAlMVlzARXaMNCYMuk.jpg,['US']
